,flow_mass,flow_mol,temperature,pressure,vapor_frac,"('mole_frac_comp', 'Ar')","('mole_frac_comp', 'CO')","('mole_frac_comp', 'CO2')","('mole_frac_comp', 'H2')","('mole_frac_comp', 'H2O')","('mole_frac_comp', 'N2')","('mole_frac_comp', 'O2')","('mole_frac_comp', 'CH4')","('mole_frac_comp', 'C2H6')","('mole_frac_comp', 'C3H8')","('mole_frac_comp', 'C4H10')"
h08,5.039750000000001,2500.0,320.0,7999999.999999999,,,,,1.0,,,,,,,
h09,5.039750000000001,2500.0,398.6808819863085,15999999.999999998,,,,,1.0,,,,,,,
h10,5.039750000000001,2500.0,320.0,15999999.999999998,,,,,1.0,,,,,,,
hr01,0.12188754578933715,52.077039254928124,1023.1276154333034,110000.0,,,,,0.9797102310964657,0.020289768903534247,,,,,,
hr02,0.12188754578933715,52.077039254928124,1023.15,110000.0,,,,,0.9797102310964657,0.020289768903534247,,,,,,
o01,204.40865242636755,6947.755960729316,1022.7932034284449,110000.0,,0.00754478930103457,,0.0002460257380772143,,0.008118849356548068,0.6340903356043401,0.35,,,,
o02,204.38821156112485,6947.061185133241,1022.7932034284449,110000.0,,0.00754478930103457,,0.0002460257380772143,,0.00811884935654807,0.6340903356043401,0.35,,,,
o03,204.38821156112485,6947.061185133241,531.4799020559115,110000.0,,0.00754478930103457,,0.0002460257380772143,,0.00811884935654807,0.6340903356043401,0.35,,,,
o04,61.31646346833746,2084.1183555399725,531.4799020559115,110000.0,,0.007544789301034569,,0.0002460257380772143,,0.008118849356548073,0.6340903356043401,0.35,,,,
o05,143.0717480927874,4862.9428295932685,531.4799020559115,110000.0,,0.00754478930103457,,0.0002460257380772144,,0.008118849356548073,0.6340903356043401,0.3500000000000001,,,,
o06,143.0717480927874,4862.9428295932685,514.7022820811563,110000.0,,0.00754478930103457,,0.0002460257380772144,,0.008118849356548073,0.6340903356043401,0.3500000000000001,,,,
o07,61.31646346833746,2084.1183555399725,506.25551465931443,110000.0,,0.007544789301034569,,0.0002460257380772143,,0.008118849356548073,0.6340903356043401,0.35,,,,
out01,45.45359567703509,1620.1193215711107,310.93,127239.0,,0.010752893253896693,,0.0003759384834315764,,0.012405969953242026,0.9684343252386677,0.00803087307076203,,,,
out02,143.0717480927874,4862.9428295932685,405.0,110000.0,,0.00754478930103457,,0.0002460257380772144,,0.008118849356548073,0.6340903356043401,0.3500000000000001,,,,
out03,61.31646346833746,2084.1183555399725,405.0,110000.0,,0.007544789301034569,,0.0002460257380772143,,0.008118849356548073,0.6340903356043401,0.35,,,,
out08,5.039750000000001,2500.0,398.9809012790432,32000000.0,,,,,1.0,,,,,,,
s00,45.97553729740724,2552.0301265041253,288.15000000000003,101325.0,0.0,,,,,,,,,,,
s01,45.97553729740724,2552.0301265041253,288.15045594056005,110000.0,0.0,,,,,,,,,,,
s02,45.97553729740724,2552.0301265041253,375.4455749661482,110000.0,0.3675601479796122,,,,,,,,,,,
s03,45.97553729740724,2552.0301265041253,1023.1500000000001,110000.0,1.0,,,,,,,,,,,
s04,45.97093974367751,2551.7749234914754,1023.1499999999999,110000.0,,,,,1e-20,1.0,,,,,,
s05,46.092827289466854,2603.851962746404,1023.1500000000004,110000.0,,,,,0.01959420462192933,0.9804057953780707,,,,,,
s06,164.4111524263675,5697.755960729313,1023.15,110000.0,,0.0092,,0.0003000000000000001,,0.009900000000000003,0.7732000000000001,0.20740000000000003,,,,
