,S042_Fm,S042_F,S042_h,S042_T,S042_P,B002_Fm,B002_F,B002_h,B002_T,B002_P,G012_Fm,G012_F,G012_T,G012_P,G012_F[O2],G012_F[NO],G012_F[N2],G012_F[SO2],G012_F[CO2],G012_F[H2O],G013_Fm,G013_F,G013_T,G013_P,G013_F[O2],G013_F[NO],G013_F[N2],G013_F[SO2],G013_F[CO2],G013_F[H2O],ECON_Q,termination,bin_no,bin_power
226,354.8350590001663,19696.33883015786,15630.007272154568,474.7989135058759,20150246.350039255,354.8350590001663,19696.33883015786,22338.876145661103,554.8253719804393,19621520.700412568,459.21248827374313,15496.043498552783,753.9214395985065,99591.45609631215,382.7522744142538,9.29762609913167,11481.018628077756,30.992086997105563,2245.3767029402984,1346.6061800242367,459.21248827374313,15496.043498552783,499.1900327091757,100196.34360750279,382.7522744142538,9.29762609913167,11481.018628077756,30.992086997105563,2245.3767029402984,1346.6061800242367,132140154.49968319,optimal,5.0,477500000.0
227,333.5413119358428,18514.356254015634,15888.138139847651,478.04557427017613,20151535.97941153,333.5413119358428,18514.356254015634,22895.49946882803,560.9247502816692,19622392.119213775,459.2476750741044,15497.230870854048,749.8492807625498,100475.4705355007,382.78160251009507,9.298338522512429,11481.898352215765,30.9944617417081,2245.548753186752,1346.7093626772169,459.2476750741044,15497.230870854048,499.64401594722256,100326.41527397823,382.78160251009507,9.298338522512429,11481.898352215765,30.9944617417081,2245.548753186752,1346.7093626772169,129736784.0453538,optimal,5.0,477500000.0
228,336.8688884208865,18699.06481724883,16192.901883963952,481.86583561471576,20149368.10537023,336.8688884208865,18699.06481724883,22645.24458192059,558.1955343606822,19619717.69190407,455.1928243834389,15360.40065763643,743.9052651781195,99249.28396157373,379.4018962436199,9.216240394581856,11380.52084724283,30.720801315272862,2225.7220552915187,1334.8188171486056,455.1928243834389,15360.40065763643,509.2638485876057,100056.6016954532,379.4018962436199,9.216240394581856,11380.52084724283,30.720801315272862,2225.7220552915187,1334.8188171486056,120652774.33217765,optimal,5.0,477500000.0
229,315.9172227811663,17536.07064565004,15263.622834638994,470.1731588962458,20152730.211285774,315.9172227811663,17536.07064565004,22265.567232215373,554.0142541013113,19621561.387674674,451.9346172049381,15250.453037624737,745.1258428897639,99889.15706702546,376.68619002933104,9.15027182257484,11299.060655576168,30.500906075249475,2209.7906451518243,1325.2643689695897,451.9346172049381,15250.453037624737,504.49534903848934,101382.9611308719,376.68619002933104,9.15027182257484,11299.060655576168,30.500906075249475,2209.7906451518243,1325.2643689695897,122786591.61339732,optimal,5.0,477500000.0
230,318.84286282250605,17698.468345898928,15299.786878119752,470.6520737664387,19953467.481137533,318.84286282250605,17698.468345898928,22747.965921028215,559.3039278101774,19424402.10440583,460.23696207287094,15530.614184149967,748.6994767982654,100134.10749617404,383.6061703485042,9.318368510489979,11506.63204903671,31.061228368299933,2250.38599528333,1349.610372602632,460.23696207287094,15530.614184149967,494.8109078347726,100576.26757833654,383.6061703485042,9.318368510489979,11506.63204903671,31.061228368299933,2250.38599528333,1349.610372602632,131821361.02550317,optimal,4.0,472500000.0
231,323.96242779726947,17982.64738584521,15486.630213440974,473.012058070551,19951626.450421788,323.96242779726947,17982.64738584521,23052.759743464267,562.6111835691173,19424621.363016162,455.28162227559227,15363.397126666621,754.4087925941625,100173.87595987205,379.4759090286656,9.218038275999973,11382.740931147298,30.726794253333242,2226.1562436539934,1335.0792103073293,455.28162227559227,15363.397126666621,489.52456071481413,98824.8889727226,379.4759090286656,9.218038275999973,11382.740931147298,30.726794253333242,2226.1562436539934,1335.0792103073293,136059039.41403967,optimal,4.0,472500000.0
232,313.32754660441856,17392.32177376197,15486.565423634549,473.01107582230094,19953195.38878559,313.32754660441856,17392.32177376197,22821.36963774395,560.103525606273,19425513.476256162,455.9297237287387,15385.267194589178,743.468602680279,100484.54008419231,380.0160997063527,9.231160316753504,11398.944464471122,30.770534389178355,2229.3252164959717,1336.9797192097994,455.9297237287387,15385.267194589178,495.2835120537563,100555.84382839828,380.0160997063527,9.231160316753504,11398.944464471122,30.770534389178355,2229.3252164959717,1336.9797192097994,127569275.03933461,optimal,4.0,472500000.0
233,300.82499534858897,16698.324719271026,15614.446221677936,474.6233611214843,19951823.162304558,300.82499534858897,16698.324719271026,23034.654566918827,562.4158039463209,19426260.35495259,455.43440199329075,15368.552650986205,741.5188612848343,99730.30987543892,379.60325047935936,9.221131590591725,11386.560659115681,30.737105301972417,2226.9032791279014,1335.5272253707012,455.43440199329075,15368.552650986205,500.30148118196314,99751.26923305893,379.60325047935936,9.221131590591725,11386.560659115681,30.737105301972417,2226.9032791279014,1335.5272253707012,123905048.43347685,optimal,4.0,472500000.0
234,305.1190687315818,16936.682012801455,15349.605662661126,471.28189571053133,19952307.0670608,305.1190687315818,16936.682012801455,22821.84462917341,560.1087588181642,19426365.143908553,458.730388625225,15479.775131914586,748.292891628699,100214.73020589212,382.3504457582904,9.287865079148753,11468.965395235518,30.95955026382918,2243.019416614424,1345.1924589633775,458.730388625225,15479.775131914586,504.04416093567346,99923.87107721512,382.3504457582904,9.287865079148753,11468.965395235518,30.95955026382918,2243.019416614424,1345.1924589633775,126554935.29942489,optimal,4.0,472500000.0
235,317.14395599267147,17604.16468645902,15606.461659993573,474.5227909543979,19951662.859427284,317.14395599267147,17604.16468645902,22902.025312436697,560.9798627608252,19425936.86446971,465.7000610090564,15714.96548319731,743.2088746169982,99674.87503924212,388.1596474349736,9.428979289918384,11643.217926500885,31.42993096639462,2277.09849851529,1365.630500489846,465.7000610090564,15714.96548319731,498.6928769454319,100457.19328974218,388.1596474349736,9.428979289918384,11643.217926500885,31.42993096639462,2277.09849851529,1365.630500489846,128432304.01815322,optimal,4.0,472500000.0
236,335.4767921084434,18621.79172948982,15575.196946209979,474.1285171264641,19954746.691447984,335.4767921084434,18621.79172948982,22574.186907755346,557.4038133201205,19427185.72883203,462.515960464545,15607.518578329815,749.376773314661,100290.95768933931,385.50570888474647,9.364511146997888,11563.61051468456,31.21503715665963,2261.52944199999,1356.293364456861,462.515960464545,15607.518578329815,499.78484305745366,99358.8012019607,385.50570888474647,9.364511146997888,11563.61051468456,31.21503715665963,2261.52944199999,1356.293364456861,130333733.38048777,optimal,4.0,472500000.0
