,BFW_Fm,BFW_F,BFW_h,BFW_T,BFW_P,ECON_OUT_Fm,ECON_OUT_F,ECON_OUT_h,ECON_OUT_T,ECON_OUT_P,FG_2_ECON_Fm,FG_2_ECON_F,FG_2_ECON_T,FG_2_ECON_P,FG_2_ECON_F[O2],FG_2_ECON_F[NO],FG_2_ECON_F[N2],FG_2_ECON_F[SO2],FG_2_ECON_F[CO2],FG_2_ECON_F[H2O],FG_2_AIRPH_Fm,FG_2_AIRPH_F,FG_2_AIRPH_T,FG_2_AIRPH_P,FG_2_AIRPH_F[O2],FG_2_AIRPH_F[NO],FG_2_AIRPH_F[N2],FG_2_AIRPH_F[SO2],FG_2_AIRPH_F[CO2],FG_2_AIRPH_F[H2O],ECON_Q,termination,bin_no,bin_power
225,338.0163388075582,18762.757992524024,16023.676730968355,479.7462774960927,20151618.91065167,338.0163388075582,18762.757992524024,22935.232416616895,561.3558540139543,19620531.893422965,456.9685386874567,15420.32182005843,742.0740070356371,99688.28810000187,380.8819489554433,9.252193092035059,11424.916436481291,30.840643640116863,2234.404631726467,1340.0259661630778,456.9685386874567,15420.32182005843,490.12886050256486,99961.51252000156,380.8819489554433,9.252193092035059,11424.916436481291,30.840643640116863,2234.404631726467,1340.0259661630778,129679846.68167657,optimal,5.0,477500000.0
226,354.8350589512057,19696.338827440133,15630.007270131788,474.7989134801301,20150246.352598187,354.8350589512057,19696.338827440133,22338.876146660357,554.8253719914414,19621520.699683595,459.2124882605298,15496.043498106903,753.9214396382761,99591.45610000512,382.7522744032405,9.29762609886414,11481.018627747402,30.9920869962138,2245.37670287569,1346.6061799854897,459.2124882605298,15496.043498106903,499.19003266176435,100196.34360000426,382.7522744032405,9.29762609886414,11481.018627747402,30.9920869962138,2245.37670287569,1346.6061799854897,132140154.54097335,optimal,5.0,477500000.0
227,333.54131191347625,18514.3562527741,15888.138141534268,478.0455742916754,20151535.976212032,333.54131191347625,18514.3562527741,22895.499471321982,560.9247503088768,19622392.12073638,459.2476750659854,15497.230870580079,749.849280750877,100475.47050000507,382.781602503328,9.298338522348045,11481.898352012779,30.99446174116015,2245.548753147053,1346.7093626534083,459.2476750659854,15497.230870580079,499.6440159176521,100326.41530000426,382.781602503328,9.298338522348045,11481.898352012779,30.99446174116015,2245.548753147053,1346.7093626534083,129736784.05160126,optimal,5.0,477500000.0
228,336.8688883479244,18699.064813198816,16192.901883094119,481.8658356039638,20149368.103996303,336.8688883479244,18699.064813198816,22645.244581565064,558.1955343565396,19619717.68830113,455.192824381622,15360.400657575123,743.9052651602944,99249.28396000514,379.4018962421055,9.216240394545071,11380.520847197407,30.720801315150243,2225.722055282635,1334.818817143278,455.192824381622,15360.400657575123,509.26384860080736,100056.60170000426,379.4018962421055,9.216240394545071,11380.520847197407,30.720801315150243,2225.722055282635,1334.818817143278,120652774.31566253,optimal,5.0,477500000.0
229,315.91722274873126,17536.070643849624,15263.622833524774,470.17315888238664,20152730.209094312,315.91722274873126,17536.070643849624,22265.56722976422,554.0142540743949,19621561.39194889,451.934617183778,15250.453036910698,745.1258428492127,99889.15706303695,376.6861900116943,9.150271822146417,11299.060655047137,30.500906073821394,2209.79064504836,1325.2643689075396,451.934617183778,15250.453036910698,504.4953490565631,101382.96109806105,376.6861900116943,9.150271822146417,11299.060655047137,30.500906073821394,2209.79064504836,1325.2643689075396,122786591.57734632,optimal,5.0,477500000.0
230,318.8428627981163,17698.46834454509,15299.786878881892,470.65207377595397,19953467.482259814,318.8428627981163,17698.46834454509,22747.965922934553,559.303927831086,19424402.106026422,460.2369620732528,15530.61418416285,748.6994767819974,100134.10749852196,383.60617034882245,9.31836851049771,11506.632049046257,31.0612283683257,2250.385995285197,1349.6103726037516,460.2369620732528,15530.61418416285,494.81090779724695,100576.26760891598,383.60617034882245,9.31836851049771,11506.632049046257,31.0612283683257,2250.385995285197,1349.6103726037516,131821361.03567012,optimal,4.0,472500000.0
231,323.9624276732524,17982.647378961214,15486.630211302088,473.01205804366066,19951626.44952833,323.9624276732524,17982.647378961214,23052.759745068954,562.6111835863652,19424621.362142496,455.2816223080413,15363.39712776161,754.4087925701022,100173.8759984798,379.4759090557118,9.218038276656964,11382.740931958575,30.726794255523213,2226.1562438126566,1335.0792104024836,455.2816223080413,15363.39712776161,489.52456067774085,98824.88896911836,379.4759090557118,9.218038276656964,11382.740931958575,30.726794255523213,2226.1562438126566,1335.0792104024836,136059039.4292738,optimal,4.0,472500000.0
232,313.3275466520402,17392.321776405373,15486.565423279897,473.01107581734425,19953195.393382225,313.3275466520402,17392.321776405373,22821.369634235387,560.103525568186,19425513.477330804,455.9297237160193,15385.26719415996,743.4686026440601,100484.54010000154,380.01609969575105,9.231160316495975,11398.944464153115,30.77053438831992,2229.325216433778,1336.9797191725004,455.9297237160193,15385.26719415996,495.2835120792254,100555.84380000447,380.01609969575105,9.231160316495975,11398.944464153115,30.77053438831992,2229.325216433778,1336.9797191725004,127569275.00386971,optimal,4.0,472500000.0
233,300.82499527174645,16698.32471500562,15614.446219343028,474.6233610918879,19951823.164081838,300.82499527174645,16698.32471500562,23034.654568887596,562.4158039673822,19426260.352554988,455.4344020206349,15368.552651908927,741.5188613209637,99730.30988000057,379.60325050215056,9.221131591145355,11386.560659799323,30.737105303817852,2226.9032792616035,1335.5272254508857,455.4344020206349,15368.552651908927,500.3014811545931,99751.26923000162,379.60325050215056,9.221131591145355,11386.560659799323,30.737105303817852,2226.9032792616035,1335.5272254508857,123905048.47369091,optimal,4.0,472500000.0
234,305.11906875092757,16936.682013875306,15349.605659459392,471.28189567016284,19952307.066229604,305.11906875092757,16936.682013875306,22821.844623842004,560.1087587602408,19426365.144906905,458.73038864902543,15479.775132717728,748.292891586473,100214.73020000156,382.350445778128,9.287865079630638,11468.965395830566,30.959550265435464,2243.019416730799,1345.1924590331707,458.73038864902543,15479.775132717728,504.0441609596177,99923.87108000448,382.350445778128,9.287865079630638,11468.965395830566,30.959550265435464,2243.019416730799,1345.1924590331707,126554935.2713794,optimal,4.0,472500000.0
