,st_power (MW),gt_power (MW),gross_power (MW),net_power (MW),lhv_efficiency (%),combustor_temperature (K),fuel_flow (kg/s),st_throttle_delta_pressure (bar),st_condenser_pressure (bar),st_throttle_inlet_temperature (K),st_throttle_outlet_temperature (K),fuel_cost_rate (USD/hr),other_variable_cost_rate (USD/hr),total_variable_cost_rate (USD/hr)
585.0,202.59377558385412,425.6972889905564,628.2910645744105,585.0,51.937762471614754,1629.5114286512496,23.86330717150903,-14.4549119446674,0.0870982974768569,859.4166542147416,854.402596388963,18822.68519983073,3350.4379655698694,22173.123165400597
580.0,201.6010956583329,421.45127528664347,623.0523709449765,580.0,51.86888400356738,1628.4546225072513,23.69076533895582,-15.192798161671462,0.08662592568187169,859.5070200927702,854.2352171306176,18686.589202129766,3326.212877979098,22012.802080108864
575.0,200.60717197785291,417.2065147558408,617.8136867336937,575.0,51.79890845771142,1627.385951572387,23.51826274442838,-15.930774581561803,0.08615563280709095,859.5984666936957,854.0687316590033,18550.52415424652,3301.9932994558803,21852.5174537024
570.0,199.61198495922133,412.9630282040526,612.5750131632739,570.0,51.72780831519085,1626.3052305501908,23.34580099132917,-16.66886093124741,0.08568740469763074,859.6910172696435,853.9031592809646,18414.491320898378,3277.7794551199113,21692.27077601829
565.0,198.61551429658738,408.7208373462126,607.3363516428,565.0,51.65555488378636,1625.212270158836,23.173381855991057,-17.407078324012268,0.08522122592492128,859.7846956026135,853.7385194179201,18278.492103205237,3253.571594370532,21532.06369757577
560.0,197.61773890924567,404.47996486635816,602.0977037756037,560.0,51.582118242533426,1624.106877042994,23.001007294574222,-18.14544941206016,0.08475707963147687,859.8795260046476,853.574831552685,18142.528044129565,3229.3699918550624,21371.89803598463
555.0,196.61863688676524,400.24043447748807,596.8590713642533,555.0,51.50746718973076,1622.9888536883766,22.82867944750254,-18.883998551896628,0.08429494736373588,859.9755333151608,853.412115168595,18006.60083197569,3205.174948091673,21211.775780067364
550.0,195.61818543206257,396.0022709796699,591.6204564117326,550.0,51.43156919666059,1621.8579983405114,22.656400640480452,-19.622751981903914,0.08383480889419431,860.0727428939947,853.2503896796551,17870.712301191877,3180.9867896121546,21051.69909080403
545.0,194.61636080362118,391.76550031367447,586.3818611172957,545.0,51.35439036995901,1620.714104929198,22.484173380911148,-20.361738010878838,0.08337664203482517,860.171180612118,853.0896743540562,17734.864429545112,3156.8058684590296,20891.67029800414
540.0,193.6131382581246,387.53014960740495,581.1432878655295,540.0,51.275895426167686,1619.5569630006717,22.312000348341382,-21.100987215094065,0.08292042244517764,860.2708728348032,852.9299882266122,17599.05933058422,3132.632560843991,20731.69189142821
